manga_name,manga_slug,chapter_number,panel_count,expected_count,status,timestamp,error
One Piece,one-piece,1,54,54,success,2025-10-22T20:13:51.749703,
One Piece,one-piece,2,23,23,success,2025-10-22T20:14:55.596813,
Solo Leveling Manhwa,solo-leveling-manhwa,1,15,15,success,2025-10-22T20:40:07.461640,
Solo Leveling Manhwa,solo-leveling-manhwa,2,13,13,success,2025-10-22T20:41:10.344324,
Solo Leveling Manhwa,solo-leveling-manhwa,3,15,15,success,2025-10-22T20:42:25.857649,
Solo Leveling Manhwa,solo-leveling-manhwa,4,16,16,success,2025-10-22T20:43:15.135909,
Solo Leveling Manhwa,solo-leveling-manhwa,5,16,16,success,2025-10-22T20:44:14.684009,
Solo Leveling Manhwa,solo-leveling-manhwa,6,18,18,success,2025-10-22T20:44:41.576271,
Solo Leveling Manhwa,solo-leveling-manhwa,7,22,22,success,2025-10-22T20:45:40.431137,
Solo Leveling Manhwa,solo-leveling-manhwa,8,22,22,success,2025-10-22T20:46:39.316727,
Solo Leveling Manhwa,solo-leveling-manhwa,9,18,18,success,2025-10-22T20:47:12.880604,
Solo Leveling Manhwa,solo-leveling-manhwa,10,21,21,success,2025-10-23T09:41:41.984381,
Solo Leveling Manhwa,solo-leveling-manhwa,11,19,19,success,2025-10-23T09:42:09.213924,
solo-leveling-manhwa,solo-leveling-manhwa,12,15,15,success,2025-10-23T09:22:39.844971,
solo-leveling-manhwa,solo-leveling-manhwa,13,20,20,success,2025-10-23T09:23:08.735690,
solo-leveling-manhwa,solo-leveling-manhwa,14,17,17,success,2025-10-23T09:23:31.999987,
solo-leveling-manhwa,solo-leveling-manhwa,15,21,21,success,2025-10-23T09:24:00.558046,
solo-leveling-manhwa,solo-leveling-manhwa,16,21,21,success,2025-10-23T09:24:31.073716,
solo-leveling-manhwa,solo-leveling-manhwa,17,21,21,success,2025-10-23T09:25:04.028302,
solo-leveling-manhwa,solo-leveling-manhwa,18,19,19,success,2025-10-23T09:25:30.692844,
solo-leveling-manhwa,solo-leveling-manhwa,19,19,19,success,2025-10-23T09:25:58.602279,
